Rk,Season,Team,W-L%,Pass Attempts,Pass TD,TO Committed,TO Forced,Point Differential,Turnover Differential,PtDif Pos or Neg,TODif Pos or Neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2024,LVR,0.235,635,19,29,13,-125,16,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2023,LVR,0.471,557,20,24,22,1,2,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2022,LVR,0.353,586,28,21,13,-23,8,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2021,LVR,0.588,628,23,24,15,-65,9,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2024,MIA,0.471,591,22,21,16,-19,5,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2023,MIA,0.647,566,30,25,27,105,-2,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2022,MIA,0.529,584,30,21,14,-2,7,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2021,MIA,0.529,615,21,26,26,-32,0,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2024,MIN,0.824,548,35,21,33,100,-12,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2023,MIN,0.412,631,30,34,22,-18,12,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2022,MIN,0.765,672,30,23,25,-3,-2,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2021,MIN,0.471,604,34,13,24,-1,-11,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2024,NOR,0.294,551,21,19,17,-60,2,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2023,NOR,0.529,606,28,18,29,75,-11,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2022,NOR,0.412,512,24,25,14,-15,11,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2021,NOR,0.529,504,29,18,25,29,-7,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2024,NWE,0.235,529,18,23,12,-128,11,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2023,NWE,0.235,557,16,29,18,-130,11,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2022,NWE,0.471,540,19,23,30,17,-7,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2021,NWE,0.588,535,24,23,30,159,-7,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2024,NYG,0.176,591,15,23,15,-142,8,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2023,NYG,0.353,518,15,19,31,-141,-12,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2022,NYG,0.559,520,17,16,19,-6,-3,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2021,NYG,0.235,593,15,30,22,-158,8,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2024,NYJ,0.294,607,31,19,17,-66,2,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2023,NYJ,0.412,601,11,33,27,-87,6,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2022,NYJ,0.412,627,15,23,16,-20,7,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2021,NYJ,0.235,603,20,27,14,-194,13,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2024,PHI,0.824,448,24,15,26,160,-11,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2023,PHI,0.647,563,24,28,18,5,10,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2022,PHI,0.824,536,25,19,27,133,-8,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2021,PHI,0.529,494,20,16,16,59,0,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2024,PIT,0.588,499,21,17,33,33,-16,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2023,PIT,0.588,506,13,16,27,-20,-11,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2022,PIT,0.529,571,12,19,23,-38,-4,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2021,PIT,0.559,664,23,20,22,-55,-2,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2024,SEA,0.588,593,21,24,18,7,6,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2023,SEA,0.529,575,23,17,19,-38,-2,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2022,SEA,0.529,573,30,23,25,6,-2,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2021,SEA,0.412,495,30,13,18,29,-5,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2024,SFO,0.353,533,23,27,17,-47,10,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2023,SFO,0.706,491,33,18,28,193,-10,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2022,SFO,0.765,512,30,17,30,173,-13,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2021,SFO,0.588,514,26,24,20,62,4,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2024,TAM,0.588,571,41,23,18,117,5,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2023,TAM,0.529,568,28,18,26,23,-8,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2022,TAM,0.471,751,26,22,20,-45,2,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2021,TAM,0.765,731,43,19,29,158,-10,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2024,TEN,0.176,530,22,34,18,-149,16,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2023,TEN,0.353,494,14,20,14,-62,6,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2022,TEN,0.412,456,16,23,20,-61,3,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2021,TEN,0.706,535,22,25,22,65,3,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2024,WAS,0.706,525,29,16,17,94,-1,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2023,WAS,0.235,636,24,32,18,-189,14,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2022,WAS,0.5,554,24,23,18,-22,5,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2021,WAS,0.412,550,21,24,19,-99,5,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
